barcode,titck_product_code,trade_name,manufacturer,atc_code,active_substance_tr,dosage_form,strength_value,strength_unit,strength_text,package_size_text,rx_only,reimbursable,retired_at
8690632990545,,IMPACT ORAL RTD VANILYA 237 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,237,ml,237 ML,,true,true,
8690632990552,,IMPACT ORAL RTD KAHVE 237 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,237,ml,237 ML,,true,true,
8690632990569,,IMPACT ORAL RTD TROPIK MEYVE 237 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,237,ml,237 ML,,true,true,
8690632990682,,RESOURCE JUNIOR VANILYA AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632990699,,RESOURCE JUNIOR CILEK AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632990705,,RESOURCE JUNIOR CIKOLATA AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632990750,,RESOURCE ENERGY VANILYA AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632990767,,RESOURCE ENERGY CIKOLATA AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632990774,,RESOURCE ENERGY KAYISI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632990811,,RESOURCE ENERGY CILEK AHUDUDU 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632990835,,RESOURCE ENERGY MUZ 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991085,,RESOURCE 2.0 FIBER VANILYA AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ ANONİM ŞİRKETİ,V06DB,,,200,ml,200 ML,,true,true,
